ents,freq
"art. 373, Il, do CPC de 2015",142
79400,142
Reforma Trabalhista,141
ADC 58,140
Constituição Federal,140
"item V, da Súmula 331, do C. TST",134
art. 71 da Lei 6. 666 / 93,133
"artigos 58, Il e 67, ambos da Lei 8666 / 98",130
Leis 1. 060 / 50,128
artigo 189 do CC,128
"aris. 58, Ill, e 67 da Lei 8. 666 / 93",126
"83º, do art. 790, da CLT",126
arts. 389 e 404 do Código Civil,125
"Súmula nº 331, V, desta Corte",121
artigo 344 do CPC,121
OJ nº 382 da SDI1 do TST,118
"artigo 487, 8 3º, da CLT",118
TRT,117
"artigo 485, inciso IV, do CPC",114
"art. 832, 8 3º, da CLT",113
art. 14 do CPC,112
"artigo 3º, III, da CF",110
Decreto 2745 / 98.,109
Lei 1060 / 50,109
artigo 67 da Lei nº 9. 478 / 97,109
OJ,109
"artigo 3º, Ill, da CF",109
artigo 67 da Lei 9478 / 97,108
artigo 1º - F da Lei 9494 / 97,108
"súmula 368, item Il do C. TST",107
Súmula 439 do C. TST,107
:,107
art. 145 da CLT,105
0482,104
artigo 12 - A da Lei 7713 / 88,104
Carta Magna,103
Lei nº 10. 035,102
Consolidação das Leis do Trabalho,102
"artigo 459, 8 1º, da CLT",101
art. 39 da CLT,100
RJ,100
"artigo 15, da Lei 8. 036 / 90",98
SDI1,98
Constituição,97
"artigo 39, 8 1º, da Lei 8. 177 / 91",97
artigo 927 do Código Civil,96
art. 404 do Código Civil de 2002,95
art. 884 do CC,94
Lei nº 12. 350 / 2010,94
Instrução Normativa RFB nº 1500,94
"arts. 186 e 927, - caput -, do CCB / 2002",94
ADC 16 / 2010,93
artigo 198 do Decreto nº 3. 048 / 99,92
ART. 477 DA CLT,92
"CDC, art. 104, primeira parte",90
art. 15 do CPC,89
RE 760931 / DF,87
ADCs 58 e 59,87
artigo 276 do decreto nº 3. 048 / 99,86
"Súmulas 12, 13, 41 e 43 do E. TRT da 1º Região",85
Constituição Federal de 1988,85
art. 71 da Lei de Licitações,85
art. 14 da Lei 5. 584 / 70,85
Constituição da República,84
0000,84
"artigo 876, parágrafo único, da CLT",83
87º do art. 879 da CLT,82
art. 313 do CPC,82
Lei. 11. 941 / 09,82
10. 2011. 5. 21. 0021,82
ART. 71 DA LEI DE LICITAÇÕES,80
artigo 71 da CLT,79
2013,78
artigos 10 e 448 da CLT,78
Código Civil,78
OJ 400 da SDlI - 1 do TST,77
Lei nº 13. 467,76
artigo 137 da CLT,76
2006,76
Súmula 41 do TRT1,76
215640,76
"artigo 71, 8 1º, da Lei de Licitações",75
2011,75
Enunciado 331 do TST,75
Reforma,75
Provimentos nº 2 / 93,74
"artigo 214, 8 9º, do Decreto nº 3. 048 / 99",73
Lei nº 7. 102,73
"58, III, e 67 da Lei nº 8. 666 / 93",73
96 da CGJT,73
00102521520135010047,73
"artigo 173, 8 1º, Ill da CF",72
2017,72
"art. 879, 8 7º, da CLT",72
súmula nº 12 deste E. TRT,71
2015,71
"arts. 159 e 160, |, in fine, CCB / 1916",71
Carta Magna de 1988,70
art. 193 da CF,70
"artigos 1º, IV e 170 da Carta Magna.",70
RE 760. 931,69
Lei nº 6. 019,69
MP 808 / 2017,68
art. 487 da CLT,68
Lei 12. 101 / 2009,67
"art. 489, 81º, inc. IV, do CPC",67
"artigo 98, 8 2º, do CPC",67
"art. 459, parágrafo único, da CLT",67
"art. 373, |, do CPC",67
"artigo 58, Ill, da Lei nº 8. 666 / 93",67
Lei n. º 13. 105 / 2015,67
Súmula 264 do TST,66
art. 897 - A da CLT,66
Agravo de Petição nº 568 - 2003 - 531 - 01 - 00 - 5,66
RR,66
"Orientação Jurisprudencial 400, da SDI - 1",65
2010,65
Súmula Vinculante 10,65
"art. 16, Lei n. 6. 019 / 74",65
"art. 5º, Il, da CRFB",64
4425,64
"art. 99, 8 3. º, do CPC",64
"arts. 1º, IV, e 170 da CF",64
Ação Declaratória de Constitucionalidade,64
ART. 404 DO CÓDIGO CIVIL BRASILEIRO,64
artigo 397 do Código Civil,64
"art. 1. 026, 82º, do CPC",64
$ 4º do art. 790 da CLT,63
"artigos 20 e 33, 85º, da Lei 8. 212 / 91",63
Súmula 43 deste Eg. TRT,63
Súmula n. 12,63
"Súmula 368, Il, do TST",63
IN 1. 558 / 2015,62
Lei nº 8. 212 / 1991,62
2018,62
Orientação Jurisprudencial nº 400 da SDII TST,62
art. 8º 8 único da CLT,62
Código Civil Brasileiro,61
"art. 333, Il, do CPC",60
"OJ 302, da SDI - 1",60
Decreto,60
ADI 4. 357,60
"art. 37, da CRFB",60
"artigos 58, Ill, c / c 67, caput e 8 1º, ambos da Lei nº 8. 666 / 93",59
ADI 5766,59
ART. 1º - F DA LEI Nº 9. 494 / 97,59
incisos V e X do artigo 5º da Lei Maior,59
"CRFB, art. 5º, caput",58
LTR,58
Súmula 53 do STF,58
"art. 37, Il, da CF / 1988",57
Res. 185 / 2012,57
Enunciado 831 do TST,56
ADls 5. 867 e 6. 021,56
CCT,56
"art. 790, 88 3. º e 4. º, da CLT",56
STF,56
Lei n. 13. 429 / 2017,56
Orientação Jurisprudencial 382 da SDI - 1 da Corte Superior Trabalhista,55
art. 99 do CPC / 2015,55
súmula 43 do TRT 1º Região,55
artigo 4º da Lei 1. 060 / 50,55
art. 10 do CPC,54
artigo 404 do CC,54
"Súmula 331, VI [ 1 ], do C. TST",53
OJ 382 SDII TSTI3,53
584,53
Decreto nº 2. 745 / 98 da Presidência da República,53
OJ 363 da SDlI - 1 do TST,53
"art. 477, par. 6º, da CLT",51
4567,51
"art. 61, 82º, da Lei nº 9. 430 / 96",51
2014,51
"Súmula 248, TST",51
',50
art. 44 da Lei nº 12. 350,50
súmulas 200 e 211 do TST,50
Emenda Constitucional nº 45 / 2004,50
artigo 497 do CPC,49
IN 1127 da RFB,49
IPCA,49
art. 141 e 492 do CPC,49
"artigos 818 e 373, Il, do CPC",49
ação coletiva 0100350 - 49. 2017. 5. 01. 0227,48
artigos 1º e 2º da Resolução nº 8,48
OJ 82 da SDI - 1 do C. TST,48
"item IV, da Súmula 331",48
art. 29 da Lei 12. 101 / 2009,47
Decreto nº 2. 7145 / 98 da Presidência da República,47
Ato nº 104 / 2015 do TRT1,47
1988,47
"artigo 18, 81º, da Lei 8. 036 / 90",47
Instrução Normativa RFB nº 1127 / 2011,46
"artigo 497 e do 81º do artigo 536, ambos do CPC",46
"art. 341, CPC",46
ARR,46
artigo 483 do Diploma Consolidado,46
taxa Selic,46
art. 20 do CPC de 1973,46
Res. 174 / 2011,46
"artigo 39, 8 1º, da Lei 8177 / 91",46
Sum. 439 do C. TST,46
OJ 302 da SBI 1 do TST,45
art. 85 do CPC de 2015,45
"art. 32, IV, Lei 8. 212 / 91",45
2019,45
Instruções Normativas vigentes da RFB,45
artigo 104 da Lei 8078 / 90,45
Atos nº 158 / 2013,45
70,45
art. 214 do Decreto 3. 048 / 99,44
Instrução Normativa RFB 1. 127 / 2011,44
2020,44
7 do Pleno do TST,44
artigo 459 do Diploma Consolidado,44
Lei 12. 350 / 10,44
"art. 74, 82º, da CLT",43
"art. 5º, LV, da CRFB",43
OJ SBDI - I TST número 302,43
"artigos 373, Il do CPC",43
Lei n. 6. 019 / 74,43
Lei no 5. 869,43
"artigo 485, V, do CPC",43
62,43
art. 105 do CPC de 2015,43
IUJ,42
Lei nº 3. 238,42
0000065,42
"artigo 195, |, a, e Il",42
Súmula 338 da Corte Superior Trabalhista,42
